id,code,name,parent_id:id
wzfl1217,1003,螺钉旋具,wzfl1194
wzfl1223,1004,锉刀,wzfl1194
wzfl1236,1005,丝锥,wzfl1194
wzfl1240,1006,板牙,wzfl1194
wzfl1245,1007,电焊器材工具,wzfl1194
wzfl1249,1008,气焊工具,wzfl1194
wzfl1250,1009,皮带冲,wzfl1194
wzfl1251,1010,锤,wzfl1194
wzfl1252,1011,虎钳,wzfl1194
wzfl1253,1012,锯,wzfl1194
wzfl1254,1013,电工,wzfl1194
wzfl1255,1014,其它工具,wzfl1194
wzfl1257,1101,尺类,wzfl1256
wzfl1267,1102,表类,wzfl1256
wzfl1272,1103,规类,wzfl1256
wzfl1273,1104,测表,wzfl1256
wzfl1279,1105,磅秤、卡钳,wzfl1256
wzfl1286,1201,麻花钻,wzfl1285
wzfl1290,1202,铰刀,wzfl1285
wzfl1296,1203,铣刀,wzfl1285
wzfl1300,1204,刀片,wzfl1285
wzfl1304,1205,磨具,wzfl1285
wzfl1314,1601,六角螺丝,wzfl1313
wzfl1315,1602,半圆头螺丝,wzfl1313
wzfl1316,1603,螺栓,wzfl1313
wzfl1317,1604,内六角螺丝,wzfl1313
wzfl1318,1605,半圆头自攻螺丝,wzfl1313
wzfl1319,1606,十字沉头自攻螺丝,wzfl1313
wzfl1320,1607,沉头自攻螺丝,wzfl1313
wzfl1321,1608,膨胀螺丝,wzfl1313
wzfl1322,1609,木牙螺丝,wzfl1313
wzfl1323,1610,其它螺丝,wzfl1313
wzfl1339,3104,空调车制冷发动机,wzfl1338
wzfl1357,0841,CFC6100GD3车身,wzfl1192
wzfl1359,0842,CJ 6100GIQIYH车身,wzfl1192
wzfl1360,0843,CFC6100GDP车身,wzfl1192
wzfl1361,0844,DD6101HS车身,wzfl1192
wzfl1362,0845,DD6103HSC车身,wzfl1192
wzfl1363,0846,GZK6100AD车身,wzfl1192
wzfl1364,0847,WG6800-3车身,wzfl1192
wzfl1365,0848,WG6800E-4车身,wzfl1192
wzfl1366,0849,WG6800E-1车身,wzfl1192
wzfl1367,0850,CK2643,wzfl1192
wzfl1368,0851,CKZ6965车身,wzfl1192
wzfl1369,0852,柳微车身,wzfl1192
wzfl1370,0853,牡丹MD6602AD5  车身,wzfl1192
wzfl1371,0854,其它车身,wzfl1192
wzfl1372,0855,依维柯CJ6830G5C2HK车身,wzfl1192
wzfl1373,0856,CJ6100G2C10HK(EQ153),wzfl1192
wzfl1374,0857,CJ6108G1C2HK(4110ZQ),wzfl1192
wzfl1375,0858,DD6111HS车身,wzfl1192
wzfl1376,0859,长江CJ6830G5C2HK车身,wzfl1192
wzfl1377,0860,依维柯CJ6101G5C13H车身,wzfl1192
wzfl1380,0941,CFC6100GD3车身,wzfl1193
wzfl1381,0942,CJ 6100GIQIYH车身,wzfl1193
wzfl1382,0943,CFC6100GDP车身,wzfl1193
wzfl1383,0944,DD6101HS车身,wzfl1193
wzfl1384,0945,DD6103HSC车身,wzfl1193
wzfl1385,0946,GZK6100AD车身,wzfl1193
wzfl1386,0947,WG6800-3车身,wzfl1193
wzfl1387,0948,WG6800E-4车身,wzfl1193
wzfl1388,0949,WG6800E-1车身WG6800E-1车身,wzfl1193
wzfl1389,0950,CK2643,wzfl1193
wzfl1390,0951,CKZ6965车身,wzfl1193
wzfl1391,0952,柳微车身,wzfl1193
wzfl1392,0953,牡丹MD6602AD5,wzfl1193
wzfl1393,0954,其它车身,wzfl1193
wzfl1394,0955,依维柯CJ6830G5C2HK车身,wzfl1193
wzfl1395,0956,CJ6100G2C10HK(EQ153),wzfl1193
wzfl1396,0957,CJ6108G1C2HK(4110ZQ),wzfl1193
wzfl1397,0958,DD6111HS车身,wzfl1193
wzfl1398,0959,长江CJ6830G5C2HK车身,wzfl1193
wzfl1399,0960,依维柯CJ6101G5C13H车身,wzfl1193
wzfl1401,1300,通用五金,wzfl1310
wzfl1403,1400,通用电子材料,wzfl1311
